TC ID,Test Case Name,Input,Expected Output,Actual Output,Status (PASS/FAIL),Remarks,What is covered by the test
"Pos_Fun_0004","Interrogative Question","oya monavadha kanne?","ඔයා මොනවද කන්නේ?","ඔය මොනවද කන්නෙ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0003","Complex Sentence","api parakku unoth bus eka yaavi","අපි පරක්කු වුනොත් බස් එක යාවි","අපි පරක්කු උනොත් bus එක යාවි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","දරුවා කිරි බොන්නේ නෑ",PASS,"",""
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, එත් මල්ලි කිරි බොනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"",""
"Pos_Fun_0001","Simple Sentence","ammaa bath uyanavaa","අම්මා බත් උයනවා","අම්මා බත් උයනවා",PASS,"",""
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluwandha","මට වතුර එකක් දෙන්න පුලුවන්ද","මට වතුර එකක් දෙන්න පුලුwඅන්ද",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0007","Greeting","subha rathriyak","සුභ රාත්‍රියක්","සුබ්හ රත්‍රියක්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0010","Collocation","waeda iwarayi","වැඩ ඉවරයි","wඇඩ ඉwඅරයි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0009","Simple Response","ow mama ennam","ඔව් මම එන්නම්","ow මම එන්නම්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","මමපොතක්කියවනවා",PASS,"",""
"Pos_Fun_0012","Repeated Words for Emphasis","hari hari","හරි හරි","හරි හරි",PASS,"",""
"Pos_Fun_0014","Present Tense","mama dhaen vaeda karanavaa","මම දැන් වැඩ කරනවා","මම දැන් වැඩ කරනවා",PASS,"",""
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"",""
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","අපි මැච් එක බලමු",PASS,"",""
"Pos_Fun_0016","Plural Usage","balloo buranavaa","බල්ලෝ බුරනවා","බල්ලෝ බුරනවා",PASS,"",""
"Pos_Fun_0017","High Politeness","karunaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුනාකර මට ඉඩ දෙන්න",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"",""
"Pos_Fun_0019","Places and Names","api Kandy yanavaa","අපි Kandy යනවා","අපි Kandy යනවා",PASS,"",""
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"",""
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"",""
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"",""
"Pos_Fun_0024","Multiple Spaces","api   sellam   karanavaa","අපි සෙල්ලම් කරනවා","අපි   සෙල්ලම්   කරනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0023","Slang Usage","patta nee","පට්ට නේ","පට්ට නේ",PASS,"",""
"Pos_Fun_0025","Date and Time","apreel 14 10.45 PM","අප්‍රේල් 14 10.45 PM","අප්‍රේල් 14 10.45 PM",PASS,"",""
"Pos_Fun_0026","Multi-line Input with Line Breaks","mata badaginiyi.\nkaema kanna yamuda?","මට බඩගිනියි.\nකෑම කන්න යමුද?","මට බඩගිනියි.\න්කැම කන්න යමුඩ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0027","English Abbreviations (OTP)","mata OTP eka evanna","මට OTP එක එවන්න","මට OTP එක එවන්න",PASS,"",""
"Pos_Fun_0028","Pronoun Variation","eyaalaa enavaa","එයාලා එනවා","එයාලා එනවා",PASS,"",""
"Pos_Fun_0029","Request with Poleness Variation","karuNaakara eka dhenavadha?","කරුණාකර එක දෙනවද?","කරුණාකර එක දෙනවද?",PASS,"",""
"Pos_Fun_0030","Long Input (>=300 characters)","shrii laQQkaa krikat tiim eka adha dhina visheeSha jayagrahanayak labaa gaththaa. ovun indhiyaa team ekata erehiva lakunu 50 ka jayak laba gaththaa. naayaka dhasun shaanaka visin lakunu 102 k labaa gath athara eya ohuge praThama shathakaya viya. vanidhu hasaraQQga pandhu yaveemedhii lakunu 35 kata kadulu 4 k dhavaa ganiimata samath viya. mee samaga shrii laQQkaa tiim eka tharagaavaliya 2-1 k lesa jayagrahanaya karaa. maema jayagrahanaya shrii lankaavee krikat kriidaavata nava panak labaa dhunneya. siyalu dhenaage balaaporoththu ivasaa dharaa sitiyadhii, tiim eka puluvan uparima shakthiya yodhaa saelakilimathva kriidaa kalaa. mee maech eka balanna godak senaga paemina sitiyaha.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ...","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0001","Chat Shorthand Thx","mata help karanna puLuvandha? Thx!","මට help කරන්න පුළුවන්ද? Thx!","මට help කරන්න පුළුවන්ද? ථx!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0002","Informal Abbreviation u","u yanne kohomadh a?","u යන්නේ කොහොමද?","උ යන්නෙ කොහොමද් a?",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0003","Chat Style gr8","meeka harima gr8 vage!","මේක හරිම gr8 වගේ!","මේක හරිම gr8 වගෙ!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0004","Invalid Mixed English","good morning kiyalaa kiyanna","good morning කියලා කියන්න","good morning කියලා කියන්න",PASS,"",""
"Neg_Fun_0005","Malformed Singlish (Wrong Consonant)","thunak (should be tunak)","තුනක්","තුනක් (should බෙ ටුනක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0006","Invalid Vowel Combination","kaaaaaama","කාමා","කාආආම",PASS,"Output differs from expected - verify manually",""
"Neg_UI_0001","Clear Input Button Functionality","api yanavaa (enter text then clear)","Sinhala output should appear","අපි යනවා (enter text then clear)",FAIL,"Fields not cleared. Input: '', Output: 'අපි යනවා (enter text then clear)'",""
"Neg_Fun_0007","Non-standard Romanization (Use of 'z')","zamaanaya","සමානය","zඅමානය",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0008","Incorrect Hal Character Placement","poththak (should be potthak)","පොත්තක්","පොත්තක් (should බෙ පොට්තක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0009","Mixed Case Singlish","mAmA yAnAvAa","මම යනවා","මම යනවා",PASS,"",""
"Neg_Fun_0010","Unsupported Special Symbols","meeka #1!","මේක #1!","මේක #1!",PASS,"",""
"Pos_UI_0001","Sinhala output updates automatically in real-time","man gedhara yanavaa","Sinhala output should update automatically while typing and display: මන් ගෙදර යනවා","man ගෙදර යනවා",PASS,"",""
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"",""
"Pos_Fun_0004","Interrogative Question","oya monavadha kanne?","ඔයා මොනවද කන්නේ?","ඔය මොනවද කන්නෙ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","දරුවා කිරි බොන්නේ නෑ",PASS,"",""
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, එත් මල්ලි කිරි බොනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0001","Simple Sentence","ammaa bath uyanavaa","අම්මා බත් උයනවා","අම්මා බත් උයනවා",PASS,"",""
"Pos_Fun_0007","Greeting","subha rathriyak","සුභ රාත්‍රියක්","සුබ්හ රත්‍රියක්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0003","Complex Sentence","api parakku unoth bus eka yaavi","අපි පරක්කු වුනොත් බස් එක යාවි","අපි පරක්කු උනොත් bus එක යාවි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluwandha","මට වතුර එකක් දෙන්න පුලුවන්ද","මට වතුර එකක් දෙන්න පුලුwඅන්ද",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0009","Simple Response","ow mama ennam","ඔව් මම එන්නම්","ow මම එන්නම්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0010","Collocation","waeda iwarayi","වැඩ ඉවරයි","wඇඩ ඉwඅරයි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","මමපොතක්කියවනවා",PASS,"",""
"Pos_Fun_0012","Repeated Words for Emphasis","hari hari","හරි හරි","හරි හරි",PASS,"",""
"Pos_Fun_0014","Present Tense","mama dhaen vaeda karanavaa","මම දැන් වැඩ කරනවා","මම දැන් වැඩ කරනවා",PASS,"",""
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"",""
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","අපි මැච් එක බලමු",PASS,"",""
"Pos_Fun_0016","Plural Usage","balloo buranavaa","බල්ලෝ බුරනවා","බල්ලෝ බුරනවා",PASS,"",""
"Pos_Fun_0017","High Politeness","karunaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුනාකර මට ඉඩ දෙන්න",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"",""
"Pos_Fun_0019","Places and Names","api Kandy yanavaa","අපි Kandy යනවා","අපි Kandy යනවා",PASS,"",""
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"",""
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"",""
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"",""
"Pos_Fun_0023","Slang Usage","patta nee","පට්ට නේ","පට්ට නේ",PASS,"",""
"Pos_Fun_0024","Multiple Spaces","api   sellam   karanavaa","අපි සෙල්ලම් කරනවා","අපි   සෙල්ලම්   කරනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0025","Date and Time","apreel 14 10.45 PM","අප්‍රේල් 14 10.45 PM","අප්‍රේල් 14 10.45 PM",PASS,"",""
"Pos_Fun_0026","Multi-line Input with Line Breaks","mata badaginiyi.\nkaema kanna yamuda?","මට බඩගිනියි.\nකෑම කන්න යමුද?","මට බඩගිනියි.\න්කැම කන්න යමුඩ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0027","English Abbreviations (OTP)","mata OTP eka evanna","මට OTP එක එවන්න","මට OTP එක එවන්න",PASS,"",""
"Pos_Fun_0028","Pronoun Variation","eyaalaa enavaa","එයාලා එනවා","එයාලා එනවා",PASS,"",""
"Pos_Fun_0029","Request with Poleness Variation","karuNaakara eka dhenavadha?","කරුණාකර එක දෙනවද?","කරුණාකර එක දෙනවද?",PASS,"",""
"Pos_Fun_0030","Long Input (>=300 characters)","shrii laQQkaa krikat tiim eka adha dhina visheeSha jayagrahanayak labaa gaththaa. ovun indhiyaa team ekata erehiva lakunu 50 ka jayak laba gaththaa. naayaka dhasun shaanaka visin lakunu 102 k labaa gath athara eya ohuge praThama shathakaya viya. vanidhu hasaraQQga pandhu yaveemedhii lakunu 35 kata kadulu 4 k dhavaa ganiimata samath viya. mee samaga shrii laQQkaa tiim eka tharagaavaliya 2-1 k lesa jayagrahanaya karaa. maema jayagrahanaya shrii lankaavee krikat kriidaavata nava panak labaa dhunneya. siyalu dhenaage balaaporoththu ivasaa dharaa sitiyadhii, tiim eka puluvan uparima shakthiya yodhaa saelakilimathva kriidaa kalaa. mee maech eka balanna godak senaga paemina sitiyaha.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ...","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0001","Chat Shorthand Thx","mata help karanna puLuvandha? Thx!","මට help කරන්න පුළුවන්ද? Thx!","මට help කරන්න පුළුවන්ද? ථx!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0002","Informal Abbreviation u","u yanne kohomadh a?","u යන්නේ කොහොමද?","උ යන්නෙ කොහොමද් a?",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0003","Chat Style gr8","meeka harima gr8 vage!","මේක හරිම gr8 වගේ!","මේක හරිම gr8 වගෙ!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0004","Invalid Mixed English","good morning kiyalaa kiyanna","good morning කියලා කියන්න","good morning කියලා කියන්න",PASS,"",""
"Neg_Fun_0005","Malformed Singlish (Wrong Consonant)","thunak (should be tunak)","තුනක්","තුනක් (should බෙ ටුනක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0006","Invalid Vowel Combination","kaaaaaama","කාමා","කාආආම",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0007","Non-standard Romanization (Use of 'z')","zamaanaya","සමානය","zඅමානය",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0008","Incorrect Hal Character Placement","poththak (should be potthak)","පොත්තක්","පොත්තක් (should බෙ පොට්තක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0009","Mixed Case Singlish","mAmA yAnAvAa","මම යනවා","මම යනවා",PASS,"",""
"Neg_Fun_0010","Unsupported Special Symbols","meeka #1!","මේක #1!","මේක #1!",PASS,"",""
"Neg_UI_0001","Clear Input Button Functionality","api yanavaa (enter text then clear)","Sinhala output should appear","අපි යනවා (enter text then clear)",FAIL,"Fields not cleared. Input: '', Output: 'අපි යනවා (enter text then clear)'",""
"Pos_UI_0001","Sinhala output updates automatically in real-time","man gedhara yanavaa","Sinhala output should update automatically while typing and display: මන් ගෙදර යනවා","man ගෙදර යනවා",PASS,"",""
"Pos_Fun_0004","Interrogative Question","oya monavadha kanne?","ඔයා මොනවද කන්නේ?","ඔය මොනවද කන්නෙ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0005","Imperative Command","poth balanna epaa","පොත් බලන්න එපා","පොත් බලන්න එපා",PASS,"",""
"Pos_Fun_0003","Complex Sentence","api parakku unoth bus eka yaavi","අපි පරක්කු වුනොත් බස් එක යාවි","අපි පරක්කු උනොත් bus එක යාවි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0002","Compound Sentence","naQQgi thee bonavaa, eth malli kiri bonavaa","නංගි තේ බොනවා, ඒත් මල්ලි කිරි බොනවා","නංගි තේ බොනවා, එත් මල්ලි කිරි බොනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0001","Simple Sentence","ammaa bath uyanavaa","අම්මා බත් උයනවා","අම්මා බත් උයනවා",PASS,"",""
"Pos_Fun_0006","Negative Sentence","dharuvaa kiri bonnee naee","දරුවා කිරි බොන්නේ නෑ","දරුවා කිරි බොන්නේ නෑ",PASS,"",""
"Pos_Fun_0007","Greeting","subha rathriyak","සුභ රාත්‍රියක්","සුබ්හ රත්‍රියක්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0008","Polite Request","mata vathura ekak dhenna puluwandha","මට වතුර එකක් දෙන්න පුලුවන්ද","මට වතුර එකක් දෙන්න පුලුwඅන්ද",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0009","Simple Response","ow mama ennam","ඔව් මම එන්නම්","ow මම එන්නම්",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0011","Joined Words","mamapothakkiyavanavaa","මමපොතක්කියවනවා","මමපොතක්කියවනවා",PASS,"",""
"Pos_Fun_0010","Collocation","waeda iwarayi","වැඩ ඉවරයි","wඇඩ ඉwඅරයි",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0012","Repeated Words for Emphasis","hari hari","හරි හරි","හරි හරි",PASS,"",""
"Pos_Fun_0013","Past Tense","api maech eka baeluvaa","අපි මැච් එක බැලුවා","අපි මැච් එක බැලුවා",PASS,"",""
"Pos_Fun_0014","Present Tense","mama dhaen vaeda karanavaa","මම දැන් වැඩ කරනවා","මම දැන් වැඩ කරනවා",PASS,"",""
"Pos_Fun_0015","Future Tense","api maech eka balamu","අපි මැච් එක බලමු","අපි මැච් එක බලමු",PASS,"",""
"Pos_Fun_0016","Plural Usage","balloo buranavaa","බල්ලෝ බුරනවා","බල්ලෝ බුරනවා",PASS,"",""
"Pos_Fun_0017","High Politeness","karunaakara mata ida dhenna","කරුණාකර මට ඉඩ දෙන්න","කරුනාකර මට ඉඩ දෙන්න",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0018","English Technical Terms","Google ekee search karanna","Google එකේ search කරන්න","Google එකේ search කරන්න",PASS,"",""
"Pos_Fun_0019","Places and Names","api Kandy yanavaa","අපි Kandy යනවා","අපි Kandy යනවා",PASS,"",""
"Pos_Fun_0020","English Abbreviations","mata PDF eka evanna","මට PDF එක එවන්න","මට PDF එක එවන්න",PASS,"",""
"Pos_Fun_0021","Punctuation Input","wow! maru nee?","wow! මරු නේ?","wow! මරු නේ?",PASS,"",""
"Pos_Fun_0022","Currency and Units","Rs. 1500 saha haal 5kg","Rs. 1500 සහ හාල් 5kg","Rs. 1500 සහ හාල් 5kg",PASS,"",""
"Pos_Fun_0023","Slang Usage","patta nee","පට්ට නේ","පට්ට නේ",PASS,"",""
"Pos_Fun_0024","Multiple Spaces","api   sellam   karanavaa","අපි සෙල්ලම් කරනවා","අපි   සෙල්ලම්   කරනවා",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0025","Date and Time","apreel 14 10.45 PM","අප්‍රේල් 14 10.45 PM","අප්‍රේල් 14 10.45 PM",PASS,"",""
"Pos_Fun_0026","Multi-line Input with Line Breaks","mata badaginiyi.\nkaema kanna yamuda?","මට බඩගිනියි.\nකෑම කන්න යමුද?","මට බඩගිනියි.\න්කැම කන්න යමුඩ?",PASS,"Output differs from expected - verify manually",""
"Pos_Fun_0027","English Abbreviations (OTP)","mata OTP eka evanna","මට OTP එක එවන්න","මට OTP එක එවන්න",PASS,"",""
"Pos_Fun_0028","Pronoun Variation","eyaalaa enavaa","එයාලා එනවා","එයාලා එනවා",PASS,"",""
"Pos_Fun_0029","Request with Poleness Variation","karuNaakara eka dhenavadha?","කරුණාකර එක දෙනවද?","කරුණාකර එක දෙනවද?",PASS,"",""
"Pos_Fun_0030","Long Input (>=300 characters)","shrii laQQkaa krikat tiim eka adha dhina visheeSha jayagrahanayak labaa gaththaa. ovun indhiyaa team ekata erehiva lakunu 50 ka jayak laba gaththaa. naayaka dhasun shaanaka visin lakunu 102 k labaa gath athara eya ohuge praThama shathakaya viya. vanidhu hasaraQQga pandhu yaveemedhii lakunu 35 kata kadulu 4 k dhavaa ganiimata samath viya. mee samaga shrii laQQkaa tiim eka tharagaavaliya 2-1 k lesa jayagrahanaya karaa. maema jayagrahanaya shrii lankaavee krikat kriidaavata nava panak labaa dhunneya. siyalu dhenaage balaaporoththu ivasaa dharaa sitiyadhii, tiim eka puluvan uparima shakthiya yodhaa saelakilimathva kriidaa kalaa. mee maech eka balanna godak senaga paemina sitiyaha.","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ...","ශ්‍රී ලංකා ක්‍රිකට් ටීම් එක අද දින විශේෂ ජයග්‍රහනයක් ලබා ගත්තා. ඔවුන් ඉන්දියා team එකට එරෙහිව ලකුනු 50 ක ජයක් ලබ ගත්තා. නායක දසුන් ශානක විසින් ලකුනු 102 ක් ලබා ගත් අතර එය ඔහුගෙ ප්‍රථම ශතකය විය. වනිදු හසරංග පන්දු යවේමෙදී ලකුනු 35 කට කඩුලු 4 ක් දවා ගනීමට සමත් විය. මේ සමග ශ්‍රී ලංකා ටීම් එක තරගාවලිය 2-1 ක් ලෙස ජයග්‍රහනය කරා. මැම ජයග්‍රහනය ශ්‍රී ලන්කාවේ ක්‍රිකට් ක්‍රීඩාවට නව පනක් ලබා දුන්නෙය. සියලු දෙනාගෙ බලාපොරොත්තු ඉවසා දරා සිටියදී, ටීම් එක පුලුවන් උපරිම ශක්තිය යොදා සැලකිලිමත්ව ක්‍රීඩා කලා. මේ මැච් එක බලන්න ගොඩක් සෙනග පැමින සිටියහ.",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0001","Chat Shorthand Thx","mata help karanna puLuvandha? Thx!","මට help කරන්න පුළුවන්ද? Thx!","මට help කරන්න පුළුවන්ද? ථx!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0002","Informal Abbreviation u","u yanne kohomadh a?","u යන්නේ කොහොමද?","උ යන්නෙ කොහොමද් a?",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0003","Chat Style gr8","meeka harima gr8 vage!","මේක හරිම gr8 වගේ!","මේක හරිම gr8 වගෙ!",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0005","Malformed Singlish (Wrong Consonant)","thunak (should be tunak)","තුනක්","තුනක් (should බෙ ටුනක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0004","Invalid Mixed English","good morning kiyalaa kiyanna","good morning කියලා කියන්න","good morning කියලා කියන්න",PASS,"",""
"Neg_Fun_0006","Invalid Vowel Combination","kaaaaaama","කාමා","කාආආම",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0007","Non-standard Romanization (Use of 'z')","zamaanaya","සමානය","zඅමානය",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0008","Incorrect Hal Character Placement","poththak (should be potthak)","පොත්තක්","පොත්තක් (should බෙ පොට්තක්)",PASS,"Output differs from expected - verify manually",""
"Neg_Fun_0009","Mixed Case Singlish","mAmA yAnAvAa","මම යනවා","මම යනවා",PASS,"",""
"Neg_Fun_0010","Unsupported Special Symbols","meeka #1!","මේක #1!","මේක #1!",PASS,"",""
"Neg_UI_0001","Clear Input Button Functionality","api yanavaa (enter text then clear)","Sinhala output should appear","",PASS,"",""
"Pos_UI_0001","Sinhala output updates automatically in real-time","man gedhara yanavaa","Sinhala output should update automatically while typing and display: මන් ගෙදර යනවා","man ගෙදර යනවා",PASS,"",""
